구분,Asset Class,Sector,Industry,Ticker,Exchange,시장(자동),Role,Priority,Theme / Group,상위 ETF,편입 순위,비중,기준일,출처,종목명,GF Symbol 수동,가격·시장 검증,구성 기준일 상태
마스터,ETF,Broad Market,S&P 500,SPY,AMEX,US,Benchmark ETF,CORE,Broad Market / Index ETF,,,,,,,SPY,연결,마스터
마스터,ETF,Broad Market,Nasdaq-100,QQQ,NASDAQ,US,Benchmark ETF,CORE,Broad Market / Index ETF,,,,,,,NASDAQ:QQQ,연결,마스터
마스터,ETF,Broad Market,Nasdaq-100,QQQM,NASDAQ,US,Benchmark ETF,CORE,Broad Market / Index ETF,,,,,,,QQQM,연결,마스터
마스터,ETF,Broad Market,Nasdaq-100,TQQQ,NASDAQ,US,Benchmark ETF,CORE,Broad Market / Index ETF,,,,,,,TQQQ,연결,마스터
마스터,ETF,Broad Market,S&P 500 Equal Weight,RSP,AMEX,US,Breadth ETF,CORE,Broad Market / Index ETF,,,,,,,RSP,연결,마스터
마스터,ETF,Broad Market,Russell 2000,IWM,AMEX,US,Small Cap Benchmark,CORE,Broad Market / Index ETF,,,,,,,IWM,연결,마스터
마스터,ETF,Broad Market,Dow Jones 30,DIA,AMEX,US,Dow Benchmark,SECONDARY,Broad Market / Index ETF,,,,,,,NYSEARCA:DIA,연결,마스터
마스터,ETF,Broad Market,US Large Cap Growth,VUG,AMEX,US,Growth Benchmark,SECONDARY,Broad Market / Index ETF,,,,,,,VUG,연결,마스터
마스터,ETF,Broad Market,US Large Cap Growth,IWF,AMEX,US,Growth Benchmark,SECONDARY,Broad Market / Index ETF,,,,,,,IWF,연결,마스터
마스터,ETF,Information Technology,Technology Sector,XLK,AMEX,US,Sector ETF,CORE,Sector ETF,,,,,,,XLK,연결,마스터
마스터,ETF,Communication Services,Communication Services Sector,XLC,AMEX,US,Sector ETF,CORE,Sector ETF,,,,,,,XLC,연결,마스터
마스터,ETF,Consumer Discretionary,Consumer Discretionary Sector,XLY,AMEX,US,Sector ETF,CORE,Sector ETF,,,,,,,XLY,연결,마스터
마스터,ETF,Consumer Staples,Consumer Staples Sector,XLP,AMEX,US,Sector ETF,CORE,Sector ETF,,,,,,,XLP,연결,마스터
마스터,ETF,Financials,Financials Sector,XLF,AMEX,US,Sector ETF,CORE,Sector ETF,,,,,,,XLF,연결,마스터
마스터,ETF,Health Care,Health Care Sector,XLV,AMEX,US,Sector ETF,CORE,Sector ETF,,,,,,,XLV,연결,마스터
마스터,ETF,Industrials,Industrials Sector,XLI,AMEX,US,Sector ETF,CORE,Sector ETF,,,,,,,XLI,연결,마스터
마스터,ETF,Energy,Energy Sector,XLE,AMEX,US,Sector ETF,CORE,Sector ETF,,,,,,,XLE,연결,마스터
마스터,ETF,Materials,Materials Sector,XLB,AMEX,US,Sector ETF,CORE,Sector ETF,,,,,,,XLB,연결,마스터
마스터,ETF,Utilities,Utilities Sector,XLU,AMEX,US,Sector ETF,CORE,Sector ETF,,,,,,,XLU,연결,마스터
마스터,ETF,Real Estate,Real Estate Sector,IYR,AMEX,US,Sector ETF,CORE,Sector ETF,,,,,,,IYR,연결,마스터
마스터,ETF,Information Technology,Semiconductors,SMH,NASDAQ,US,Industry ETF,CORE,Sector / Industry ETF,,,,,,,NASDAQ:SMH,연결,마스터
마스터,ETF,Information Technology,Semiconductors,SOXX,NASDAQ,US,Industry ETF,SECONDARY,Sector / Industry ETF,,,,,,,SOXX,연결,마스터
마스터,ETF,Information Technology,Software,IGV,CBOE,US,Industry ETF,CORE,Sector / Industry ETF,,,,,,,IGV,연결,마스터
마스터,ETF,Information Technology,Cybersecurity,CIBR,NASDAQ,US,Industry ETF,CORE,Sector / Industry ETF,,,,,,,CIBR,연결,마스터
마스터,ETF,Health Care,Biotechnology,XBI,AMEX,US,Industry ETF,CORE,Sector / Industry ETF,,,,,,,XBI,연결,마스터
마스터,ETF,Financials,Regional Banks,KRE,AMEX,US,Industry ETF,SECONDARY,Sector / Industry ETF,,,,,,,KRE,연결,마스터
마스터,ETF,Consumer Discretionary,Retail,XRT,AMEX,US,Industry ETF,SECONDARY,Sector / Industry ETF,,,,,,,XRT,연결,마스터
마스터,ETF,Consumer Discretionary,Homebuilders,XHB,AMEX,US,Industry ETF,SECONDARY,Sector / Industry ETF,,,,,,,XHB,연결,마스터
마스터,ETF,Consumer Discretionary,Home Construction,ITB,CBOE,US,Industry ETF,SECONDARY,Sector / Industry ETF,,,,,,,ITB,연결,마스터
마스터,ETF,Energy,Oil & Gas E&P,XOP,AMEX,US,Industry ETF,SECONDARY,Sector / Industry ETF,,,,,,,XOP,연결,마스터
마스터,ETF,Energy,Nuclear / Uranium,NLR,AMEX,US,Industry ETF,CORE,Sector / Industry ETF,,,,,,,NLR,연결,마스터
마스터,ETF,Industrials,Aerospace & Defense,ITA,CBOE,US,Industry ETF,CORE,Sector / Industry ETF,,,,,,,ITA,연결,마스터
